column,test,type,null_pct,n_categories,chi2_statistic,degrees_of_freedom,p_value,significant,strength_score,top_win_rate_categories,bottom_win_rate_categories,won_mean,churned_mean,t_statistic
Agent_Response_Category,chi-squared,categorical,0.0,21.0,6788.023,20.0,0.0,True,100,"{'Complaints': 100.0, 'Payment': 98.9, 'Technical': 97.0}","{'Refund': 70.0, 'Others': 66.7, 'Cancellation / Termination / Closure': 17.5}",,,
Customer_Renewal_Response_Category,chi-squared,categorical,0.0,19.0,5431.6033,18.0,0.0,True,100,"{'Insurance': 100.0, 'Payments and Billings / Invoice': 98.4, 'Auto / Automatic': 98.4}","{'Benefits': 56.1, 'Quality / Value / Satisfaction of service': 52.2, 'Cancellation / Termination / Non-Renewal / Withdrawal': 23.8}",,,
Agent_Renewal_Pitch_Category,chi-squared,categorical,0.0,18.0,1662.5357,17.0,0.0,True,100,"{'Annual': 95.1, 'Auto / Automatic': 94.6, 'Payment and Billings / Invoice': 93.7}","{'Discounts and Offers': 57.7, 'Cancellation / Termination / Non-Renewal / Closure': 55.8, 'Benefits': 25.0}",,,
Customer_Reaction_Category,chi-squared,categorical,0.0,14.0,819.6305,13.0,0.0,True,100,"{'Payment / Billing': 100.0, 'Discount / Offer': 95.8, 'Agreement / Acceptance / Acknowledgement': 94.1}","{'Hesitation': 68.1, 'Financial Hardship / Struggle': 55.6, 'Cancellation': 9.4}",,,
Customer_Response,chi-squared,categorical,0.0,5.0,967.045,4.0,0.0,True,100,"{'Positive': 98.9, 'Neutral': 89.9, 'Not Discussed': 77.8}","{'Neutral': 89.9, 'Not Discussed': 77.8, 'Negative': 62.0}",,,
Total_Net_Paid,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1085.326,967.3301,-9.3272
Anchor_Group,chi-squared,categorical,0.0,7.0,541.4848,6.0,0.0,True,100,"{'10+': 95.5, '4 to 9': 94.4, '3': 90.3}","{'1': 83.3, 'Independent': 77.6, 'Unknown': 14.3}",,,
Last_Connections,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,2.8045,1.3452,-20.1349
Membership_Net,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,862.0562,734.6152,-11.915
Gross,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1299.2791,1100.7167,-13.0564
Starting_PQQ_Net,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,134.4068,125.6522,-10.6907
Starting_Membership_Net,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,899.6855,804.2884,-8.4857
Starting_Gross,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1367.2343,1203.7827,-10.1452
Starting_Vat,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,225.3386,197.0915,-10.3572
Starting_Net,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1141.8957,1006.6912,-10.0228
Renewal_Score_At_Release,t-test (Welch),numeric,0.1,,,,0.0,True,100,,,25.6385,24.2337,-32.4791
Current_World_Pay_Token,chi-squared,categorical,0.0,2.0,1311.6879,1.0,0.0,True,100,"{'y': 95.7, 'n': 75.6}","{'y': 95.7, 'n': 75.6}",,,
Current_Auto_Renewal_Flag,chi-squared,categorical,0.0,2.0,448.4051,1.0,0.0,True,100,"{'y': 87.6, 'n': 66.7}","{'y': 87.6, 'n': 66.7}",,,
Current_Anchorings,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,2.7458,1.2839,-18.7649
Tenure_Scores,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,8.9773,8.3642,-35.2901
Anchoring_Score,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,8.6624,8.2635,-24.9331
Status_Scores,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,8.0277,0.7764,-135.268
Auto_Renewal_Score,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,8.5636,8.1517,-47.4711
Total_Renewal_Score_New,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,42.857,33.563,-148.0683
Sustainability_Score,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,8.6261,8.0071,-98.917
Package_Net,t-test (Welch),numeric,0.0,,,,0.0,True,83,,,60.1491,51.6462,-5.8594
Last_Years_Price,t-test (Welch),numeric,0.0,,,,0.0,True,100,,,1040.3825,878.3593,-12.1086
